timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1658310338765,785,-320,200,,AddProductWithoutRegistr 1-3,text,true,,1892,439,3,9,https://advantageonlineshopping.com/catalog/api/v1/categories/3/products,,784,ISO-8859-1,1,0,Bot0FF,0,282
1658310339635,749,-321,200,,AddProductWithoutRegistr 1-2,text,true,,984,439,3,9,https://advantageonlineshopping.com/catalog/api/v1/categories/attributes,,748,ISO-8859-1,1,0,Bot0FF,0,287
1658310340587,510,-111,200,,LogInAndChooseProduct 2-1,text,true,,1275,437,3,9,https://www.advantageonlineshopping.com/catalog/api/v1/products/15,,510,ISO-8859-1,1,0,Bot0FF,0,281
1658310340962,397,-322,200,,AddProductWithoutRegistr 1-1,text,true,,1154,407,3,9,https://advantageonlineshopping.com/app/views/category-page.html,,397,ISO-8859-1,1,0,Bot0FF,0,264
1658310342104,428,-100,200,,LogInAndChooseProduct 2-2,text,true,,1154,415,3,9,https://www.advantageonlineshopping.com/app/views/category-page.html,,428,ISO-8859-1,1,0,Bot0FF,0,285
1658310328578,1954,choose_category,200,"Number of samples in transaction : 3, number of failing samples : 0",LogInAndChooseProduct 2-2,,true,,4224,1309,3,9,null,,1954,ISO-8859-1,1,0,Bot0FF,12001,840
1658310342549,734,-321,200,,AddProductWithoutRegistr 1-3,text,true,,984,439,3,9,https://advantageonlineshopping.com/catalog/api/v1/categories/attributes,,734,ISO-8859-1,1,0,Bot0FF,0,288
1658310343383,419,-322,200,,AddProductWithoutRegistr 1-2,text,true,,1154,407,3,9,https://advantageonlineshopping.com/app/views/category-page.html,,419,ISO-8859-1,1,0,Bot0FF,0,279
1658310343151,747,-99,200,,LogInAndChooseProduct 2-3,text,true,,984,447,3,9,https://www.advantageonlineshopping.com/catalog/api/v1/categories/attributes,,747,ISO-8859-1,1,0,Bot0FF,0,281
1658310344359,577,-325,200,,AddProductWithoutRegistr 1-1,bin,true,,36858,430,3,9,https://advantageonlineshopping.com/catalog/fetchImage?image_id=3100,,576,ISO-8859-1,1,0,Bot0FF,0,279
1658310345099,771,-114,200,,LogInAndChooseProduct 2-1,text,true,,2087,447,3,9,https://www.advantageonlineshopping.com/catalog/api/v1/categories/2/products,,771,ISO-8859-1,1,0,Bot0FF,0,275
1658310346283,403,-322,200,,AddProductWithoutRegistr 1-3,text,true,,1154,407,3,9,https://advantageonlineshopping.com/app/views/category-page.html,,403,ISO-8859-1,1,0,Bot0FF,0,269
1658310346534,525,-111,200,,LogInAndChooseProduct 2-2,text,true,,1276,437,3,9,https://www.advantageonlineshopping.com/catalog/api/v1/products/15,,525,ISO-8859-1,1,0,Bot0FF,0,294
1658310346802,555,-325,200,,AddProductWithoutRegistr 1-2,bin,true,,36873,430,3,9,https://advantageonlineshopping.com/catalog/fetchImage?image_id=3100,,553,ISO-8859-1,1,0,Bot0FF,0,268
1658310347899,437,-100,200,,LogInAndChooseProduct 2-3,text,true,,1154,415,3,9,https://www.advantageonlineshopping.com/app/views/category-page.html,,437,ISO-8859-1,1,0,Bot0FF,0,291
1658310334376,1959,choose_category,200,"Number of samples in transaction : 3, number of failing samples : 0",LogInAndChooseProduct 2-3,,true,,4219,1309,3,9,null,,1959,ISO-8859-1,1,0,Bot0FF,12002,846
1658310347936,665,-326,200,,AddProductWithoutRegistr 1-1,bin,true,,45859,430,3,9,https://advantageonlineshopping.com/catalog/fetchImage?image_id=3200,,534,ISO-8859-1,1,0,Bot0FF,0,267
1658310330398,3204,choose_category,200,"Number of samples in transaction : 5, number of failing samples : 0",AddProductWithoutRegistr 1-1,,true,,86755,2145,3,9,null,,3072,ISO-8859-1,1,0,Bot0FF,14999,1398
1658310349686,591,-325,200,,AddProductWithoutRegistr 1-3,bin,true,,36874,430,3,9,https://advantageonlineshopping.com/catalog/fetchImage?image_id=3100,,589,ISO-8859-1,1,0,Bot0FF,0,291
1658310349871,416,-115,200,,LogInAndChooseProduct 2-1,text,true,,2818,414,3,9,https://www.advantageonlineshopping.com/app/views/product-page.html,,416,ISO-8859-1,1,0,Bot0FF,0,278
1658310350359,715,-326,200,,AddProductWithoutRegistr 1-2,bin,true,,45858,430,3,9,https://advantageonlineshopping.com/catalog/fetchImage?image_id=3200,,574,ISO-8859-1,1,0,Bot0FF,0,287
1658310332838,3235,choose_category,200,"Number of samples in transaction : 5, number of failing samples : 0",AddProductWithoutRegistr 1-2,,true,,86763,2145,3,9,null,,3091,ISO-8859-1,1,0,Bot0FF,15001,1403
1658310351058,768,-114,200,,LogInAndChooseProduct 2-2,text,true,,2083,447,3,9,https://www.advantageonlineshopping.com/catalog/api/v1/categories/2/products,,768,ISO-8859-1,1,0,Bot0FF,0,262
1658310351602,428,-336,200,,AddProductWithoutRegistr 1-1,text,true,,2818,406,3,9,https://advantageonlineshopping.com/app/views/product-page.html,,428,ISO-8859-1,1,0,Bot0FF,0,284
1658310352336,498,-111,200,,LogInAndChooseProduct 2-3,text,true,,1274,437,3,9,https://www.advantageonlineshopping.com/catalog/api/v1/products/15,,498,ISO-8859-1,1,0,Bot0FF,0,278
1658310353277,713,-326,200,,AddProductWithoutRegistr 1-3,bin,true,,45858,430,3,9,https://advantageonlineshopping.com/catalog/fetchImage?image_id=3200,,573,ISO-8859-1,1,0,Bot0FF,0,287
1658310335766,3226,choose_category,200,"Number of samples in transaction : 5, number of failing samples : 0",AddProductWithoutRegistr 1-3,,true,,86762,2145,3,9,null,,3083,ISO-8859-1,1,0,Bot0FF,14999,1417
1658310354074,405,-336,200,,AddProductWithoutRegistr 1-2,text,true,,2818,406,3,9,https://advantageonlineshopping.com/app/views/product-page.html,,405,ISO-8859-1,1,0,Bot0FF,0,270
1658310355030,565,-341,200,,AddProductWithoutRegistr 1-1,bin,true,,37797,430,3,9,https://advantageonlineshopping.com/catalog/fetchImage?image_id=3103,,564,ISO-8859-1,1,0,Bot0FF,0,273
1658310348601,993,choose_product,200,"Number of samples in transaction : 2, number of failing samples : 0",AddProductWithoutRegistr 1-1,,true,,40615,836,3,9,null,,992,ISO-8859-1,1,0,Bot0FF,6002,557
1658310355826,429,-115,200,,LogInAndChooseProduct 2-2,text,true,,2818,414,3,9,https://www.advantageonlineshopping.com/app/views/product-page.html,,429,ISO-8859-1,1,0,Bot0FF,0,286
1658310356991,405,-336,200,,AddProductWithoutRegistr 1-3,text,true,,2818,406,3,9,https://advantageonlineshopping.com/app/views/product-page.html,,405,ISO-8859-1,1,0,Bot0FF,0,269
1658310356834,768,-114,200,,LogInAndChooseProduct 2-3,text,true,,2090,447,3,9,https://www.advantageonlineshopping.com/catalog/api/v1/categories/2/products,,768,ISO-8859-1,1,0,Bot0FF,0,260
1658310357479,583,-341,200,,AddProductWithoutRegistr 1-2,bin,true,,37813,430,3,9,https://advantageonlineshopping.com/catalog/fetchImage?image_id=3103,,581,ISO-8859-1,1,0,Bot0FF,0,290
1658310351074,988,choose_product,200,"Number of samples in transaction : 2, number of failing samples : 0",AddProductWithoutRegistr 1-2,,true,,40631,836,3,9,null,,986,ISO-8859-1,1,0,Bot0FF,6000,560
1658310358596,428,-346,200,,AddProductWithoutRegistr 1-1,text,true,,1923,406,3,9,https://advantageonlineshopping.com/app/views/shoppingCart.html,,428,ISO-8859-1,1,0,Bot0FF,0,285
1658310355596,428,remove_product_from_bucket,200,"Number of samples in transaction : 1, number of failing samples : 0",AddProductWithoutRegistr 1-1,,true,,1923,406,3,9,null,,428,ISO-8859-1,1,0,Bot0FF,3001,285
1658310354287,5430,-120,200,,LogInAndChooseProduct 2-1,text,true,,1108,445,3,9,https://www.advantageonlineshopping.com/catalog/api/v1/MostPopularComments,,5430,ISO-8859-1,1,0,Bot0FF,0,280
1658310336588,7127,choose_product,200,"Number of samples in transaction : 4, number of failing samples : 0",LogInAndChooseProduct 2-1,,true,,7288,1743,3,9,null,,7127,ISO-8859-1,1,0,Bot0FF,16002,1114
1658310360396,553,-341,200,,AddProductWithoutRegistr 1-3,bin,true,,37805,430,3,9,https://advantageonlineshopping.com/catalog/fetchImage?image_id=3103,,551,ISO-8859-1,1,0,Bot0FF,0,276
1658310353991,958,choose_product,200,"Number of samples in transaction : 2, number of failing samples : 0",AddProductWithoutRegistr 1-3,,true,,40623,836,3,9,null,,956,ISO-8859-1,1,0,Bot0FF,6000,545
1658310361062,389,-346,200,,AddProductWithoutRegistr 1-2,text,true,,1923,406,3,9,https://advantageonlineshopping.com/app/views/shoppingCart.html,,389,ISO-8859-1,1,0,Bot0FF,0,259
1658310358062,389,remove_product_from_bucket,200,"Number of samples in transaction : 1, number of failing samples : 0",AddProductWithoutRegistr 1-2,,true,,1923,406,3,9,null,,389,ISO-8859-1,1,0,Bot0FF,3000,259
1658310361601,424,-115,200,,LogInAndChooseProduct 2-3,text,true,,2818,414,3,9,https://www.advantageonlineshopping.com/app/views/product-page.html,,424,ISO-8859-1,1,0,Bot0FF,0,282
1658310363950,416,-346,200,,AddProductWithoutRegistr 1-3,text,true,,1923,406,3,9,https://advantageonlineshopping.com/app/views/shoppingCart.html,,416,ISO-8859-1,1,0,Bot0FF,0,277
